Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
29/04/2024;16.295;34.25;#N/A;#N/A;#N/A;#N/A
26/04/2024;16.10;33.85;#N/A;#N/A;#N/A;#N/A
25/04/2024;16.08;33.80;#N/A;#N/A;#N/A;#N/A
24/04/2024;16.085;34.25;#N/A;#N/A;#N/A;#N/A
23/04/2024;16.015;34.92;#N/A;#N/A;#N/A;#N/A
22/04/2024;15.975;34.33;#N/A;#N/A;#N/A;#N/A
19/04/2024;15.93;33.90;1947.656;4967.23;4918.09;499.29
18/04/2024;15.82;33.82;1942.958;5011.12;4936.57;499.7
17/04/2024;15.73;33.46;1947.947;5022.21;4914.13;498.52
16/04/2024;15.71;33.22;1967.475;5051.41;4916.99;498.21
15/04/2024;15.74;33.82;1975.708;5061.82;4984.48;505.93
12/04/2024;15.88;33.66;2003.174;5123.41;4955.01;505.25
11/04/2024;15.615;33.45;2042.604;5199.06;4966.68;504.55
10/04/2024;15.69;33.85;2028.389;5160.64;5000.83;506.59
09/04/2024;15.73;33.86;2080.8;5209.91;4990.9;505.82
08/04/2024;15.565;34.33;2073.713;5202.39;5046.05;508.93
05/04/2024;15.40;34.14;2063.47;5204.34;5014.75;506.55
04/04/2024;15.59;34.85;2053.828;5147.21;5070.76;510.84
03/04/2024;15.555;34.87;2076.203;5211.49;5069.25;510.02
02/04/2024;15.58;34.76;2065.037;5205.81;5042;508.57
28/03/2024;15.51;34.815;2124.547;5254.35;5083.42;512.67
27/03/2024;15.634;34.69;2114.349;5248.49;5081.74;511.75
26/03/2024;15.514;34.60;2070.163;5203.58;5064.18;511.09
25/03/2024;15.516;34.575;2074.163;5218.19;5044.19;509.86
22/03/2024;15.43;34.48;2071.998;5234.18;5031.15;509.64
21/03/2024;15.346;34.65;2098.561;5241.53;5052.31;509.77
20/03/2024;15.434;34.595;2074.88;5224.62;5000.31;505.21
19/03/2024;15.378;34.62;2035.707;5178.51;5007.92;505.23
18/03/2024;15.324;34.235;2024.735;5149.42;4982.76;503.94
15/03/2024;15.38;34.325;2039.322;5117.09;4986.02;504.8
14/03/2024;15.29;34.005;2031.175;5150.48;4993.12;506.4
13/03/2024;15.124;33.82;2071.711;5165.31;5000.55;507.33
12/03/2024;15.156;33.96;2065.478;5175.27;4983.2;506.52
11/03/2024;15.228;33.28;2065.881;5117.94;4930.42;501.49
08/03/2024;15.248;33.52;2082.713;5123.69;4961.11;503.26
07/03/2024;15.266;33.10;2084.74;5157.36;4974.22;503.16
06/03/2024;15.174;32.73;2068.089;5104.76;4915.49;498.21
05/03/2024;14.988;32.725;2053.708;5078.65;4893.07;496.27
04/03/2024;14.672;32.62;2074.309;5130.95;4912.92;497.41
01/03/2024;14.696;32.36;2076.395;5137.08;4894.86;497.58
29/02/2024;14.836;32.88;2054.843;5096.27;4877.77;494.61
28/02/2024;14.84;32.71;2040.306;5069.76;4883.77;494.59
27/02/2024;14.684;32.385;2056.107;5078.18;4885.74;496.33
26/02/2024;14.648;32.375;2028.968;5069.53;4864.29;495.43
23/02/2024;14.84;32.30;2016.688;5088.8;4872.57;497.25
22/02/2024;14.754;32.06;2013.838;5087.03;4855.36;495.1
